t=2026-03-06T04:12:31-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-06T04:12:31-0300 lvl=info msg="using configuration at default config path" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-06T04:12:31-0300 lvl=info msg="open config file" path="/Users/jeffersonlopes/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-06T04:20:25-0300 lvl=info msg="join connections" obj=join id=549c401b097b l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:27-0300 lvl=info msg="join connections" obj=join id=c58089996806 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:27-0300 lvl=info msg="join connections" obj=join id=53de2e8dd8f4 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:37-0300 lvl=info msg="join connections" obj=join id=6d28ea1c6815 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:39-0300 lvl=info msg="join connections" obj=join id=73c6a6dfffc2 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:20:53-0300 lvl=info msg="join connections" obj=join id=2be113598399 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:21:08-0300 lvl=info msg="join connections" obj=join id=d7da5e622e45 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:21:08-0300 lvl=info msg="join connections" obj=join id=6931c5df7c5b l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:21:31-0300 lvl=info msg="join connections" obj=join id=e65f538a3c41 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64846
t=2026-03-06T04:22:51-0300 lvl=info msg="join connections" obj=join id=211241a9b6f1 l=[::1]:5173 r=[2804:3bf0:dd58:ad00:d475:2ff3:dccb:e256]:64855
